Ticker,date,month,open,high,low,close,volume
SBIN,2023-10-03 05:30:00,2023-10,596.6,604.9,589.6,602.95,15322196
BAJFINANCE,2023-10-03 05:30:00,2023-10,7780.8,7975.5,7755.0,7967.6,944555
TITAN,2023-10-03 05:30:00,2023-10,3148.8,3212.5,3114.4,3196.25,1007308
ITC,2023-10-03 05:30:00,2023-10,441.0,442.9,439.25,439.75,7481883
TCS,2023-10-03 05:30:00,2023-10,3534.2,3534.2,3480.1,3513.85,1948148
LT,2023-10-03 05:30:00,2023-10,3040.5,3077.45,2995.1,3073.25,3254492
TATACONSUM,2023-10-03 05:30:00,2023-10,859.32,868.75,853.49,861.2,1168848
RELIANCE,2023-10-03 05:30:00,2023-10,1164.97,1167.8,1158.0,1159.08,8859056
HCLTECH,2023-10-03 05:30:00,2023-10,1232.5,1256.7,1222.7,1238.7,2162636
JSWSTEEL,2023-10-03 05:30:00,2023-10,776.55,776.55,768.0,770.25,1099773
ULTRACEMCO,2023-10-03 05:30:00,2023-10,8289.0,8377.0,8221.2,8304.9,454402
POWERGRID,2023-10-03 05:30:00,2023-10,198.75,200.0,196.9,199.55,10830728
INFY,2023-10-03 05:30:00,2023-10,1436.05,1437.0,1420.3,1434.0,4181867
TRENT,2023-10-03 05:30:00,2023-10,2074.3,2086.3,2052.0,2059.1,543387
BHARTIARTL,2023-10-03 05:30:00,2023-10,918.25,928.25,916.05,925.3,4338272
TATAMOTORS,2023-10-03 05:30:00,2023-10,632.6,632.65,618.6,620.45,6894577
WIPRO,2023-10-03 05:30:00,2023-10,406.45,408.1,403.6,405.45,2864052
TECHM,2023-10-03 05:30:00,2023-10,1220.6,1230.7,1212.55,1216.2,1622290
NTPC,2023-10-03 05:30:00,2023-10,244.35,246.7,240.55,241.2,14885044
HINDUNILVR,2023-10-03 05:30:00,2023-10,2490.0,2499.0,2461.8,2468.9,1585626
APOLLOHOSP,2023-10-03 05:30:00,2023-10,5138.95,5154.95,5066.0,5118.95,268482
M&M,2023-10-03 05:30:00,2023-10,1597.2,1598.0,1533.05,1537.4,3436776
GRASIM,2023-10-03 05:30:00,2023-10,1920.46,1931.32,1899.1,1913.84,591326
ICICIBANK,2023-10-03 05:30:00,2023-10,951.6,951.6,939.0,940.3,11131636
ADANIENT,2023-10-03 05:30:00,2023-10,2418.0,2424.9,2372.0,2387.25,2019899
ADANIPORTS,2023-10-03 05:30:00,2023-10,826.0,836.75,824.25,831.4,2453090
BEL,2023-10-03 05:30:00,2023-10,137.9,140.6,137.2,139.2,19010910
BAJAJFINSV,2023-10-03 05:30:00,2023-10,1530.25,1564.2,1527.0,1561.05,1083086
EICHERMOT,2023-10-03 05:30:00,2023-10,3426.9,3434.95,3302.9,3351.4,1354075
COALINDIA,2023-10-03 05:30:00,2023-10,297.05,297.1,290.1,291.9,9348540
MARUTI,2023-10-03 05:30:00,2023-10,10709.8,10709.8,10303.3,10346.9,623006
INDUSINDBK,2023-10-03 05:30:00,2023-10,1432.0,1438.4,1420.0,1435.4,1442499
ASIANPAINT,2023-10-03 05:30:00,2023-10,3166.1,3227.8,3162.0,3166.85,1219145
TATASTEEL,2023-10-03 05:30:00,2023-10,129.0,129.1,127.25,128.0,18613557
HDFCLIFE,2023-10-03 05:30:00,2023-10,634.45,637.5,628.55,633.55,3454441
DRREDDY,2023-10-03 05:30:00,2023-10,1117.38,1117.38,1090.0,1092.34,2065240
SUNPHARMA,2023-10-03 05:30:00,2023-10,1159.55,1161.95,1139.25,1141.45,1946966
KOTAKBANK,2023-10-03 05:30:00,2023-10,1730.0,1735.0,1715.45,1727.05,5534869
SHRIRAMFIN,2023-10-03 05:30:00,2023-10,1938.0,1939.9,1881.0,1921.95,2207907
NESTLEIND,2023-10-03 05:30:00,2023-10,2250.69,2259.47,2225.52,2231.52,500130
ONGC,2023-10-03 05:30:00,2023-10,189.3,189.3,183.65,184.6,22118500
CIPLA,2023-10-03 05:30:00,2023-10,1184.0,1185.7,1170.95,1182.8,1581125
BPCL,2023-10-03 05:30:00,2023-10,174.25,174.6,170.43,170.68,10514554
BRITANNIA,2023-10-03 05:30:00,2023-10,4524.8,4553.25,4486.6,4495.45,543482
SBILIFE,2023-10-03 05:30:00,2023-10,1302.15,1302.15,1282.65,1292.45,1282289
HINDALCO,2023-10-03 05:30:00,2023-10,483.1,484.55,476.6,479.95,4657602
HEROMOTOCO,2023-10-03 05:30:00,2023-10,3058.0,3064.9,2991.5,3015.6,387906
AXISBANK,2023-10-03 05:30:00,2023-10,1035.0,1044.7,1032.6,1041.05,11589322
HDFCBANK,2023-10-03 05:30:00,2023-10,1527.0,1527.0,1506.0,1508.05,19485847
BAJAJ-AUTO,2023-10-03 05:30:00,2023-10,5065.0,5073.0,4997.1,5016.45,464531
SBIN,2023-10-04 05:30:00,2023-10,600.0,600.45,584.45,586.25,24914612
BAJFINANCE,2023-10-04 05:30:00,2023-10,8025.0,8043.0,7820.0,7854.05,1176384
TITAN,2023-10-04 05:30:00,2023-10,3186.0,3205.0,3151.0,3166.65,486969
ITC,2023-10-04 05:30:00,2023-10,439.75,441.7,433.3,436.1,13396709
TCS,2023-10-04 05:30:00,2023-10,3486.3,3548.0,3477.3,3537.75,1788138
LT,2023-10-04 05:30:00,2023-10,3064.1,3064.1,2990.05,3027.75,3100946
TATACONSUM,2023-10-04 05:30:00,2023-10,856.36,859.17,844.5,854.13,615431
RELIANCE,2023-10-04 05:30:00,2023-10,1154.5,1159.5,1147.55,1157.08,10286386
HCLTECH,2023-10-04 05:30:00,2023-10,1234.0,1244.8,1225.0,1239.55,2253785
JSWSTEEL,2023-10-04 05:30:00,2023-10,767.95,768.0,753.15,756.6,1654158
ULTRACEMCO,2023-10-04 05:30:00,2023-10,8292.55,8292.55,8045.05,8120.85,884369
POWERGRID,2023-10-04 05:30:00,2023-10,198.9,199.4,195.4,199.0,14120040
INFY,2023-10-04 05:30:00,2023-10,1425.0,1449.95,1418.2,1444.35,4510406
TRENT,2023-10-04 05:30:00,2023-10,2054.0,2055.95,2007.6,2022.3,551771
BHARTIARTL,2023-10-04 05:30:00,2023-10,918.3,925.95,918.3,924.25,5603669
TATAMOTORS,2023-10-04 05:30:00,2023-10,620.8,620.8,608.3,613.6,7612709
WIPRO,2023-10-04 05:30:00,2023-10,402.7,405.45,400.65,404.9,3452935
TECHM,2023-10-04 05:30:00,2023-10,1210.0,1215.5,1186.05,1205.0,2340603
NTPC,2023-10-04 05:30:00,2023-10,241.0,241.0,231.5,235.15,25424437
HINDUNILVR,2023-10-04 05:30:00,2023-10,2467.05,2511.05,2465.15,2507.85,1587335
APOLLOHOSP,2023-10-04 05:30:00,2023-10,5085.0,5096.85,4982.3,5047.4,442482
